,Title,Score,Rating,Genres,Studios,Source
0,Frieren: Beyond Journey's End,9.38,PG-13,"AdventureAdventure, DramaDrama, FantasyFantasy",Madhouse,Manga
1,Fullmetal Alchemist: Brotherhood,9.09,R-17+,"ActionAction, AdventureAdventure, DramaDrama, FantasyFantasy",Bones,Manga
2,Gintama Season 4,9.06,PG-13,"ActionAction, ComedyComedy, Sci-FiSci-Fi",Bandai Namco Pictures,Manga
3,Hunter x Hunter,9.04,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",Madhouse,Manga
4,Gintama Season 2,9.03,PG-13,"ActionAction, ComedyComedy, Sci-FiSci-Fi",Sunrise,Manga
5,Bleach: Thousand-Year Blood War,9.02,R-17+,"ActionAction, AdventureAdventure, FantasyFantasy",Pierrot,Manga
6,Gintama: Enchousen,9.02,PG-13,"ActionAction, ComedyComedy, Sci-FiSci-Fi",Sunrise,Manga
7,Kaguya-sama: Love is War - Ultra Romantic,9.01,PG-13,"ComedyComedy, RomanceRomance",A-1 Pictures,Manga
8,Fruits Basket: The Final Season,8.98,PG-13,"DramaDrama, RomanceRomance, SupernaturalSupernatural",TMS Entertainment,Manga
9,Gintama Season 5,8.98,PG-13,"ActionAction, ComedyComedy, Sci-FiSci-Fi",Bandai Namco Pictures,Manga
10,Gintama,8.94,PG-13,"ActionAction, ComedyComedy, Sci-FiSci-Fi",Sunrise,Manga
11,The Dangers in My Heart Season 2,8.89,PG-13,"ComedyComedy, RomanceRomance",Shin-Ei Animation,Manga
12,Gintama.: Silver Soul Arc - Second Half War,8.88,PG-13,"ActionAction, ComedyComedy, Sci-FiSci-Fi",Bandai Namco Pictures,Manga
13,Jujutsu Kaisen Season 2,8.84,R-17+,"ActionAction, FantasyFantasy",MAPPA,Manga
14,Attack on Titan: Final Season,8.79,R-17+,"ActionAction, DramaDrama, SuspenseSuspense",MAPPA,Manga
15,Attack on Titan: Final Season Part 2,8.76,R-17+,"ActionAction, DramaDrama, SuspenseSuspense",MAPPA,Manga
16,Tomorrow's Joe 2,8.74,PG-13,"DramaDrama, SportsSports",Tokyo Movie Shinsha,Manga
17,Mushi-shi: Next Passage Part 2,8.73,PG-13,"AdventureAdventure, MysteryMystery, Slice of LifeSlice of Life, SupernaturalSupernatural",Artland,Manga
18,One Piece,8.72,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",Toei Animation,Manga
19,Bleach: Thousand-Year Blood War - The Separation,8.69,R-17+,"ActionAction, AdventureAdventure, FantasyFantasy",Pierrot,Manga
20,Mushi-shi: Next Passage Part 1,8.69,PG-13,"AdventureAdventure, MysteryMystery, Slice of LifeSlice of Life, SupernaturalSupernatural",Artland,Manga
21,[Oshi No Ko],8.67,PG-13,"Award WinningAward Winning, DramaDrama, SupernaturalSupernatural",Doga Kobo,Manga
22,Natsume's Book of Friends Season 4,8.64,PG-13,"Slice of LifeSlice of Life, SupernaturalSupernatural",Brain's Base,Manga
23,Your Lie in April,8.64,PG-13,"DramaDrama, RomanceRomance",A-1 Pictures,Manga
24,Death Note,8.62,R-17+,"SupernaturalSupernatural, SuspenseSuspense",Madhouse,Manga
25,Natsume's Book of Friends Season 6,8.62,PG-13,"Slice of LifeSlice of Life, SupernaturalSupernatural",Shuka,Manga
26,Ping Pong the Animation,8.62,PG-13,"Award WinningAward Winning, DramaDrama, SportsSports",Tatsunoko Production,Manga
27,Jujutsu Kaisen,8.61,R-17+,"ActionAction, Award WinningAward Winning, FantasyFantasy",MAPPA,Manga
28,Berserk,8.59,R+,"ActionAction, AdventureAdventure, DramaDrama, FantasyFantasy, HorrorHorror",OLM,Manga
29,JoJo's Bizarre Adventure: Golden Wind,8.57,R-17+,"ActionAction, AdventureAdventure, SupernaturalSupernatural",David Production,Manga
30,Natsume's Book of Friends Season 5,8.57,PG-13,"Slice of LifeSlice of Life, SupernaturalSupernatural",Shuka,Manga
31,Natsume's Book of Friends Season 3,8.57,PG-13,"Slice of LifeSlice of Life, SupernaturalSupernatural",Brain's Base,Manga
32,Attack on Titan,8.55,R-17+,"ActionAction, Award WinningAward Winning, DramaDrama, SuspenseSuspense",Wit Studio,Manga
33,Natsume's Book of Friends Season 2,8.54,PG-13,"Slice of LifeSlice of Life, SupernaturalSupernatural",Brain's Base,Manga
34,Fruits Basket 2nd Season,8.54,PG-13,"DramaDrama, RomanceRomance, SupernaturalSupernatural",TMS Entertainment,Manga
35,Bakuman. Season 3,8.53,PG-13,"ComedyComedy, DramaDrama, RomanceRomance",J.C.Staff,Manga
36,Ghost in the Shell: Stand Alone Complex 2nd GIG,8.52,R-17+,"ActionAction, MysteryMystery, Sci-FiSci-Fi",Production I.G,Manga
37,JoJo's Bizarre Adventure: Diamond Is Unbreakable,8.5,R-17+,"ActionAction, AdventureAdventure, SupernaturalSupernatural",David Production,Manga
38,One Punch Man,8.5,R-17+,"ActionAction, ComedyComedy",Madhouse,Web manga
39,Aria the Origination,8.49,G,"FantasyFantasy, Sci-FiSci-Fi, Slice of LifeSlice of Life",HAL Film Maker,Manga
40,Assassination Classroom Second Season,8.48,PG-13,"ActionAction, ComedyComedy",Lerche,Manga
41,Demon Slayer: Kimetsu no Yaiba,8.47,R-17+,"ActionAction, Award WinningAward Winning, FantasyFantasy",ufotable,Manga
42,Rainbow,8.47,R-17+,"DramaDrama, SuspenseSuspense",Madhouse,Manga
43,Yu Yu Hakusho: Ghost Files,8.46,PG-13,"ActionAction, FantasyFantasy",Pierrot,Manga
44,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,8.44,R-17+,"ActionAction, AdventureAdventure, SupernaturalSupernatural",David Production,Manga
45,Ghost in the Shell: Stand Alone Complex,8.42,R-17+,"ActionAction, Award WinningAward Winning, MysteryMystery, Sci-FiSci-Fi",Production I.G,Manga
46,The Disastrous Life of Saiki K. 2,8.42,PG-13,"ComedyComedy, SupernaturalSupernatural","J.C.Staff, Egg Firm",Manga
47,Hunter x Hunter,8.42,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",Nippon Animation,Manga
48,The Disastrous Life of Saiki K.,8.41,PG-13,"ComedyComedy, SupernaturalSupernatural","J.C.Staff, Egg Firm",Manga
49,Land of the Lustrous,8.39,PG-13,"ActionAction, DramaDrama, FantasyFantasy, MysteryMystery",Orange,Manga
50,That Time I Got Reincarnated as a Slime Season 2,8.38,PG-13,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",8bit,Manga
51,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,8.37,R-17+,"ActionAction, FantasyFantasy",ufotable,Manga
52,To Your Eternity,8.35,R-17+,"AdventureAdventure, DramaDrama, SupernaturalSupernatural",Brain's Base,Manga
53,Initial D First Stage,8.35,PG-13,"ActionAction, DramaDrama","Gallop, Studio Comet",Manga
54,The Rose of Versailles,8.34,PG-13,"DramaDrama, RomanceRomance",Tokyo Movie Shinsha,Manga
55,That Time I Got Reincarnated as a Slime Season 2 Part 2,8.33,PG-13,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",8bit,Manga
56,Parasyte: The Maxim,8.33,R-17+,"ActionAction, HorrorHorror, Sci-FiSci-Fi, SuspenseSuspense",Madhouse,Manga
57,One Outs,8.33,PG-13,"SportsSports, SuspenseSuspense",Madhouse,Manga
58,Tomorrow's Joe,8.32,PG-13,"DramaDrama, SportsSports",Mushi Production,Manga
59,Natsume's Book of Friends,8.31,PG-13,"Slice of LifeSlice of Life, SupernaturalSupernatural",Brain's Base,Manga
60,Kids on the Slope,8.3,PG-13,"DramaDrama, RomanceRomance","Tezuka Productions, MAPPA",Manga
61,Erased,8.3,R-17+,"MysteryMystery, SupernaturalSupernatural, SuspenseSuspense",A-1 Pictures,Manga
62,Beck: Mongolian Chop Squad,8.29,R-17+,"ComedyComedy, DramaDrama",Madhouse,Manga
63,Rurouni Kenshin,8.29,PG-13,"ActionAction, ComedyComedy, RomanceRomance","Gallop, Studio Deen",Manga
64,Moriarty the Patriot Part 2,8.28,R-17+,"MysteryMystery, SuspenseSuspense",Production I.G,Manga
65,That Time I Got Reincarnated as a Slime Season 3,8.27,PG-13,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",8bit,Manga
66,Naruto Shippuden,8.27,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",Pierrot,Manga
67,The Dangers in My Heart,8.26,PG-13,"ComedyComedy, RomanceRomance",Shin-Ei Animation,Manga
68,Planetes,8.26,PG-13,"Award WinningAward Winning, DramaDrama, RomanceRomance, Sci-FiSci-Fi",Sunrise,Manga
69,Dororo,8.25,R-17+,"ActionAction, AdventureAdventure, SupernaturalSupernatural","Tezuka Productions, MAPPA",Manga
70,Kaiju No. 8,8.24,PG-13,"ActionAction, Sci-FiSci-Fi",Production I.G,Manga
71,Golden Kamuy Season 2,8.24,R-17+,"ActionAction, AdventureAdventure",Geno Studio,Manga
72,Kamisama Kiss Season 2,8.22,PG-13,"ComedyComedy, FantasyFantasy, RomanceRomance",TMS Entertainment,Manga
73,Magi: The Kingdom of Magic,8.21,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",A-1 Pictures,Manga
74,Maison Ikkoku,8.21,R+,"ComedyComedy, DramaDrama, RomanceRomance",Studio Deen,Manga
75,Fruits Basket 1st Season,8.21,PG-13,"DramaDrama, RomanceRomance, SupernaturalSupernatural",TMS Entertainment,Manga
76,Honey and Clover II,8.2,PG-13,"DramaDrama, RomanceRomance",J.C.Staff,Manga
77,InuYasha: The Final Act,8.2,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy, RomanceRomance",Sunrise,Manga
78,The Case Study of Vanitas Part 2,8.2,R-17+,"ActionAction, FantasyFantasy, MysteryMystery",Bones,Manga
79,Mobile Suit Gundam: The Origin - Advent of the Red Comet,8.18,PG-13,"ActionAction, Sci-FiSci-Fi",Sunrise,Manga
80,Bakuman.,8.18,PG-13,"ComedyComedy, DramaDrama, RomanceRomance",J.C.Staff,Manga
81,Chihayafuru,8.18,PG-13,"DramaDrama, SportsSports",Madhouse,Manga
82,Dragon Ball Z,8.18,PG-13,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",Toei Animation,Manga
83,Aria the Natural,8.17,G,"FantasyFantasy, Sci-FiSci-Fi, Slice of LifeSlice of Life",HAL Film Maker,Manga
84,Cardcaptor Sakura,8.17,PG,"AdventureAdventure, ComedyComedy, DramaDrama, FantasyFantasy, RomanceRomance",Madhouse,Manga
85,Moriarty the Patriot,8.17,R-17+,"MysteryMystery, SuspenseSuspense",Production I.G,Manga
86,Case Closed,8.17,PG-13,"AdventureAdventure, ComedyComedy, MysteryMystery",TMS Entertainment,Manga
87,Ouran High School Host Club,8.16,PG-13,"ComedyComedy, RomanceRomance",Bones,Manga
88,Lupin the Third Part 5,8.15,PG-13,"ActionAction, AdventureAdventure, ComedyComedy, MysteryMystery",Telecom Animation Film,Manga
89,Food Wars! Shokugeki no Soma,8.14,PG-13,"GourmetGourmet, EcchiEcchi",J.C.Staff,Manga
90,That Time I Got Reincarnated as a Slime,8.14,PG-13,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",8bit,Manga
91,Reborn!,8.13,PG-13,"ActionAction, ComedyComedy",Artland,Manga
92,Keep Your Hands Off Eizouken!,8.13,PG-13,"AdventureAdventure, Award WinningAward Winning, ComedyComedy",Science SARU,Manga
93,Hinamatsuri,8.13,PG-13,"ComedyComedy, SupernaturalSupernatural",feel.,Manga
94,Fullmetal Alchemist,8.11,R-17+,"ActionAction, AdventureAdventure, Award WinningAward Winning, DramaDrama, FantasyFantasy",Bones,Manga
95,Hell's Paradise,8.11,R-17+,"ActionAction, AdventureAdventure, FantasyFantasy",MAPPA,Manga
96,Black Butler: Public School Arc,8.11,R-17+,"ActionAction, FantasyFantasy, MysteryMystery",CloverWorks,Manga
97,JoJo's Bizarre Adventure: Stardust Crusaders,8.1,R-17+,"ActionAction, AdventureAdventure, SupernaturalSupernatural",David Production,Manga
98,Shangri-La Frontier,8.09,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",C2C,Manga
99,Delicious in Dungeon,8.09,PG-13,"ComedyComedy, FantasyFantasy, GourmetGourmet",Trigger,Manga
100,To Your Eternity Season 2,8.08,R-17+,"AdventureAdventure, DramaDrama, SupernaturalSupernatural",Drive,Manga
101,Hikaru no Go,8.08,PG-13,"ComedyComedy, DramaDrama, SupernaturalSupernatural",Pierrot,Manga
102,Food Wars! The Second Plate,8.08,PG-13,"GourmetGourmet, EcchiEcchi",J.C.Staff,Manga
103,Astra Lost in Space,8.08,PG-13,"AdventureAdventure, Award WinningAward Winning, MysteryMystery, Sci-FiSci-Fi, SuspenseSuspense",Lerche,Manga
104,Kodocha,8.07,PG-13,"ComedyComedy, DramaDrama, RomanceRomance",Gallop,Manga
105,Black Butler: Book of Circus,8.06,R-17+,"ActionAction, FantasyFantasy, MysteryMystery",A-1 Pictures,Manga
106,The Ancient Magus' Bride,8.06,PG-13,"DramaDrama, FantasyFantasy, RomanceRomance",Wit Studio,Manga
107,The Quintessential Quintuplets 2,8.05,PG-13,"ComedyComedy, RomanceRomance",Bibury Animation Studios,Manga
108,KenIchi: The Mightiest Disciple,8.05,PG-13,"ActionAction, ComedyComedy",TMS Entertainment,Manga
109,Welcome to Demon School! Iruma-kun Season 2,8.04,PG-13,"ComedyComedy, FantasyFantasy",Bandai Namco Pictures,Manga
110,Lovely Complex,8.03,PG-13,"ComedyComedy, RomanceRomance",Toei Animation,Manga
111,Yona of the Dawn,8.03,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy, RomanceRomance",Pierrot,Manga
112,Silver Fang,8.03,PG-13,"ActionAction, AdventureAdventure, DramaDrama",Toei Animation,Manga
113,Tales of Saiunkoku,8.02,PG-13,"AdventureAdventure, FantasyFantasy, RomanceRomance",Madhouse,Light novel
114,Kimi ni Todoke: From Me to You,8.01,PG-13,"DramaDrama, RomanceRomance",Production I.G,Manga
115,Magi: The Labyrinth of Magic,8.01,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",A-1 Pictures,Manga
116,D.Gray-man,8.01,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",TMS Entertainment,Manga
117,Maid Sama!,8.0,PG-13,"ComedyComedy, RomanceRomance",J.C.Staff,Manga
118,Naruto,8.0,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy",Pierrot,Manga
119,Honey and Clover,8.0,PG-13,"ComedyComedy, DramaDrama, RomanceRomance",J.C.Staff,Manga
120,Food Wars! The Third Plate,7.99,PG-13,"GourmetGourmet, EcchiEcchi",J.C.Staff,Manga
121,The World God Only Knows: Goddesses,7.99,PG-13,"ComedyComedy, RomanceRomance, SupernaturalSupernatural",Manglobe,Manga
122,Kimi ni Todoke: From Me to You Season 2,7.99,PG-13,"DramaDrama, RomanceRomance",Production I.G,Manga
123,Sleepy Princess in the Demon Castle,7.97,PG-13,"ComedyComedy, FantasyFantasy",Doga Kobo,Manga
124,Snow White with the Red Hair 2,7.97,PG-13,"DramaDrama, FantasyFantasy, RomanceRomance",Bones,Manga
125,Dragon Ball,7.97,PG-13,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",Toei Animation,Manga
126,Fist of the North Star,7.97,R+,"ActionAction, DramaDrama, Sci-FiSci-Fi",Toei Animation,Manga
127,Sailor Moon Sailor Stars,7.96,PG-13,"AdventureAdventure, ComedyComedy, DramaDrama, FantasyFantasy, RomanceRomance",Toei Animation,Manga
128,Searching for the Full Moon,7.95,PG-13,"ComedyComedy, DramaDrama, RomanceRomance, SupernaturalSupernatural",Studio Deen,Manga
129,Food Wars! The Third Plate: Totsuki Train Arc,7.95,PG-13,"GourmetGourmet, EcchiEcchi",J.C.Staff,Manga
130,Wagnaria!!3,7.95,PG-13,"ComedyComedy, RomanceRomance",A-1 Pictures,4-koma manga
131,Nura: Rise of the Yokai Clan - Demon Capital,7.94,PG-13,"ActionAction, SupernaturalSupernatural",Studio Deen,Manga
132,Galaxy Warring State Chronicle Rai,7.94,PG-13,"AdventureAdventure, RomanceRomance, Sci-FiSci-Fi",E&G Films,Manga
133,You and Me 2,7.92,PG-13,"ComedyComedy, RomanceRomance",J.C.Staff,Manga
134,Sailor Moon S,7.91,PG-13,"FantasyFantasy, RomanceRomance",Toei Animation,Manga
135,Lupin the Third Part 4,7.91,PG-13,"ActionAction, AdventureAdventure, ComedyComedy, MysteryMystery",Telecom Animation Film,Manga
136,Yakitate!! Japan,7.91,PG-13,"ComedyComedy, GourmetGourmet",Sunrise,Manga
137,The Case Study of Vanitas,7.9,R-17+,"ActionAction, FantasyFantasy, MysteryMystery",Bones,Manga
138,Blast of Tempest,7.9,PG-13,"ActionAction, DramaDrama, FantasyFantasy, MysteryMystery, SuspenseSuspense",Bones,Manga
139,My Love Story!!,7.9,PG-13,"ComedyComedy, RomanceRomance",Madhouse,Manga
140,Ushio & Tora (2016),7.89,PG-13,"ActionAction, AdventureAdventure, SupernaturalSupernatural","MAPPA, Studio VOLN",Manga
141,Drifters,7.89,R-17+,"ActionAction, AdventureAdventure, ComedyComedy, FantasyFantasy",Hoods Entertainment,Manga
142,Hozuki's Coolheadedness 2,7.89,PG-13,"ComedyComedy, FantasyFantasy",Studio Deen,Manga
143,Nobody's Boy Remi,7.89,G,"AdventureAdventure, DramaDrama","Madhouse, TMS Entertainment",Novel
144,JoJo's Bizarre Adventure (2012),7.88,R-17+,"ActionAction, AdventureAdventure, SupernaturalSupernatural",David Production,Manga
145,Dear Brother,7.88,PG-13,"DramaDrama, Girls LoveGirls Love",Tezuka Productions,Manga
146,The Story of Saiunkoku,7.88,PG-13,"AdventureAdventure, FantasyFantasy, RomanceRomance",Madhouse,Light novel
147,TONIKAWA: Over The Moon For You,7.87,PG-13,"ComedyComedy, RomanceRomance",Seven Arcs,Manga
148,The World God Only Knows II,7.87,PG-13,"ComedyComedy, RomanceRomance, SupernaturalSupernatural",Manglobe,Manga
149,Mashle: Magic and Muscles - The Divine Visionary Candidate Exam Arc,7.87,PG-13,"ActionAction, ComedyComedy, FantasyFantasy",A-1 Pictures,Manga
150,Paradise Kiss,7.86,R-17+,"DramaDrama, RomanceRomance",Madhouse,Manga
151,Hozuki's Coolheadedness 2: Part 2,7.86,PG-13,"ComedyComedy, FantasyFantasy",Studio Deen,Manga
152,InuYasha,7.86,PG-13,"ActionAction, AdventureAdventure, FantasyFantasy, RomanceRomance",Sunrise,Manga
153,Outlaw Star,7.84,R+,"ActionAction, AdventureAdventure, ComedyComedy, Sci-FiSci-Fi",Sunrise,Manga
154,Zom 100: Bucket List of the Dead,7.83,R-17+,"ActionAction, ComedyComedy, HorrorHorror, SupernaturalSupernatural, SuspenseSuspense",BUG FILMS,Manga
155,Baby and Me,7.83,G,"ComedyComedy, DramaDrama",Pierrot,Manga
156,Haré+Guu,7.82,PG-13,"ComedyComedy, Slice of LifeSlice of Life",Shin-Ei Animation,Manga
157,Welcome to Demon School! Iruma-kun Season 3,7.82,PG-13,"ComedyComedy, FantasyFantasy",Bandai Namco Pictures,Manga
158,Dusk Maiden of Amnesia,7.82,R-17+,"HorrorHorror, MysteryMystery, RomanceRomance, SupernaturalSupernatural",SILVER LINK.,Manga
159,Bungo Stray Dogs,7.81,R-17+,"ActionAction, MysteryMystery, SupernaturalSupernatural",Bones,Manga
160,Fire Force Season 2,7.81,PG-13,"ActionAction, FantasyFantasy, Sci-FiSci-Fi",David Production,Manga
161,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",7.81,PG-13,"ComedyComedy, RomanceRomance",Bibury Animation Studios,Manga
